F1,F2,F3,F1_s,F2_s,F3_s,error,time,max_formant,n_formant,smooth_method,file_name,id,group,label,F4,F4_s
705.8198542670607,977.251217883471,3445.1340011902976,805.2159551214781,1036.7066931718996,3698.399263866741,0.014905901183391683,0.02549999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
709.2382124226189,964.9615646514638,3456.2286402163118,805.0145386670058,1036.8927696483386,3696.703275600674,0.014905901183391683,0.02749999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
709.4947647471636,962.5599460366462,3462.8362009239145,804.411563714459,1037.4520369049633,3691.62865756927,0.014905901183391683,0.02949999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
704.2568530361551,964.0801564826035,3465.311398014274,803.4108441782521,1038.387592520407,3683.2153241264496,0.014905901183391683,0.03149999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
697.0715067397159,967.525850069795,3464.3930992470378,802.0187055985393,1039.704546290419,3671.5293806319746,0.014905901183391683,0.03349999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
694.688572427519,974.9449004022929,3460.6660776936496,800.2439389334344,1041.4099415879189,3656.6624999970277,0.014905901183391683,0.03549999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
701.49516498363,986.7984803192179,3457.247553599411,798.0977364017056,1043.5126464864559,3638.731058583335,0.014905901183391683,0.037499999999999076,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
715.5218143986503,998.8366212186786,3458.9313799948254,795.593609903775,1046.0232158510823,3617.8750400840395,0.014905901183391683,0.03949999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
734.3213743545871,1011.7816514955031,3466.349813177698,792.7472926915225,1048.9537259228384,3594.256718327892,0.014905901183391683,0.04149999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
757.3070790483026,1025.0727003489949,3472.894856176185,789.5766250940387,1052.3175832292047,3568.0591321500133,0.014905901183391683,0.04349999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
787.4786651342014,1038.474893423758,3477.2464097150896,786.1014252359091,1056.1293099397822,3539.4843675400334,0.014905901183391683,0.04549999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
815.1989585648338,1050.8483537770694,3483.7440079814546,782.3433458056688,1060.4043080510758,3508.7516641906986,0.014905901183391683,0.04749999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
831.307157611318,1065.2366401800753,3500.924697935982,778.3257180436808,1065.1586050238104,3476.0953653076613,0.014905901183391683,0.04949999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
834.6939059746717,1085.965550809215,3533.002268914911,774.0733842198895,1070.4085837081595,3441.7627310864445,0.014905901183391683,0.05149999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
833.2853821355867,1111.5009938715132,3559.4611666741225,769.6125199617969,1076.1706995743978,3406.0116375997677,0.014905901183391683,0.053499999999999076,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
832.3645086407859,1139.2679176706708,3567.881411243387,764.9704478708148,1082.4611884168362,3369.1081839540493,0.014905901183391683,0.05549999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
827.6557092436484,1162.0870650711731,3573.3048993652706,760.1754439302342,1089.2957678158991,3331.3242314567215,0.014905901183391683,0.05749999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
817.3918463671897,1180.3788884947014,3585.68655076919,755.2565382598476,1096.6893357255865,3292.9348991770335,0.014905901183391683,0.05949999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
811.0041654855141,1196.6380851889694,3599.434430271958,750.2433118103639,1104.6556696004404,3254.2160406760727,0.014905901183391683,0.06149999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
816.7204623851518,1212.71380905937,3609.3654970734983,745.1656906148824,1113.2071294869938,3215.4417268228462,0.014905901183391683,0.06349999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
837.3654902442433,1232.420982335329,3616.5513581658256,740.0537392246792,1122.354368479362,3176.881759501274,0.014905901183391683,0.06549999999999909,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
864.4784234976624,1247.879425929771,3622.526151441963,734.9374549523836,1132.106053877394,3138.7992406492435,0.014905901183391683,0.06749999999999909,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
878.8182238870685,1255.0071792948556,3631.976038317185,729.8465645273967,1142.468602289214,3101.4482204594,0.014905901183391683,0.06949999999999908,5105.263157894737,4,dct_smooth_regression,KY25A_1,0-0-1-1,KY25A,AE1,,
