param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
2,-0.005821128545654142,-0.0009738530758616075,-0.004784566243853988,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
3,0.010527066431565557,-0.0013736225632296716,-0.006685916820736908,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
4,-0.00290963663482319,-0.0007968345949024973,-0.0019386639123787801,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
0,4.159564297680647,5.372664989379283,5.439055347235824,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
1,0.08498326717716193,-0.04713948066545851,-0.012873170680502985,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
2,0.023638167630680863,0.003248488283123673,0.010993065170609311,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
3,0.0013192668324650107,-0.0008619723342132554,-0.002246087932914973,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
4,-0.007431921808840387,-0.008603901762868228,0.0008373856343158945,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
0,4.23989296015773,5.416088042879722,5.782771718527986,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
1,0.047216513306115315,-0.03481336015570817,-0.012561837881980373,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
