param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
2,6.892031483669105,-67.75208510940274,-11.761000839293997,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
3,1.9115569675640645,19.243461108381616,9.402643842870882,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
4,0.8599996708520098,-23.09996880331322,3.477574188225036,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
0,285.9656572602066,1344.5291588446662,1569.6708246596709,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
1,28.376006079684057,-75.1177792289597,-82.74777291934808,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
2,-4.5992397726160705,-37.01209014304367,-7.310265303308958,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
3,5.531537345511379,-8.30713729425932,-10.293217411729252,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
4,-2.3882761064807325,-3.6787132899886172,-1.9388686950758105,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
0,315.42573596251765,1381.7910353855398,1514.607450832274,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
1,12.728429422813818,-68.56836822701683,-50.90960476465267,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
2,-22.01485860370778,-24.755469077504255,-5.889272878491701,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
3,-1.4310831243452626,-5.981941093507951,-6.61528598848471,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
4,-3.2096758417800335,-7.401337647589161,8.692777442242322,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
0,258.43643728340885,1441.4208970584398,2392.984866992323,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
1,35.01591088520479,-54.05635761677537,-115.85012400044099,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
2,11.572713341944478,-24.28974154618409,-2.8338563157618295,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
3,-2.2359438935321077,-7.959217013776745,13.290820776516457,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
4,0.09834012378630631,-6.477090042190457,6.5938256965103506,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
0,294.90235754423065,1414.679535474721,1672.6027933927362,0.0000894784352538726,josef-fruehwald_speaker,0-0-245-7,group_0,ey,5641.025641025641,1,4,complicated,2,0.10999999999999943,many,ideas,K,T,K,T,internal
1,-2.8877374047216273,30.815849312610613,-7.573635801796459,0.0000894784352538726,josef-fruehwald_speaker,0-0-245-7,group_0,ey,5641.025641025641,1,4,complicated,2,0.10999999999999943,many,ideas,K,T,K,T,internal
2,-1.2918108881257329,0.9634874777575744,-4.876353718668753,0.0000894784352538726,josef-fruehwald_speaker,0-0-245-7,group_0,ey,5641.025641025641,1,4,complicated,2,0.10999999999999943,many,ideas,K,T,K,T,internal
